@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute test-1 {0,1,2,3,4,5}

@data
460,'2020/01/30 13:10:01:513',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
461,'2020/01/30 13:10:01:532',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
462,'2020/01/30 13:10:01:550',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
463,'2020/01/30 13:10:01:562',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
464,'2020/01/30 13:10:01:585',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
465,'2020/01/30 13:10:01:601',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
466,'2020/01/30 13:10:01:618',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
467,'2020/01/30 13:10:01:634',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
468,'2020/01/30 13:10:01:649',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
469,'2020/01/30 13:10:01:664',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
470,'2020/01/30 13:10:01:681',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
471,'2020/01/30 13:10:01:698',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
472,'2020/01/30 13:10:01:714',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
473,'2020/01/30 13:10:01:737',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
474,'2020/01/30 13:10:01:753',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
475,'2020/01/30 13:10:01:768',10,0.960784,0.960784,0.960784,0.960784,0.960784,4
476,'2020/01/30 13:10:01:782',10,0.960784,0.960784,0.960784,0.960784,0.960784,4
477,'2020/01/30 13:10:01:800',10,0.960784,0.960784,0.960784,0.960784,0.960784,4
478,'2020/01/30 13:10:01:819',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
479,'2020/01/30 13:10:01:835',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
480,'2020/01/30 13:10:01:848',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
481,'2020/01/30 13:10:01:872',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
482,'2020/01/30 13:10:01:884',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
483,'2020/01/30 13:10:01:896',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
484,'2020/01/30 13:10:01:918',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
485,'2020/01/30 13:10:01:932',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
486,'2020/01/30 13:10:01:954',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
487,'2020/01/30 13:10:01:972',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
488,'2020/01/30 13:10:01:986',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
489,'2020/01/30 13:10:02:001',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
490,'2020/01/30 13:10:02:018',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
491,'2020/01/30 13:10:02:035',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
492,'2020/01/30 13:10:02:049',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
493,'2020/01/30 13:10:02:067',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
494,'2020/01/30 13:10:02:083',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
495,'2020/01/30 13:10:02:100',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
496,'2020/01/30 13:10:02:119',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
497,'2020/01/30 13:10:02:133',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
498,'2020/01/30 13:10:02:877',10,0.941176,0.941176,0.941176,0.941176,0.941176,4
499,'2020/01/30 13:10:02:894',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
500,'2020/01/30 13:10:02:916',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
501,'2020/01/30 13:10:02:933',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
502,'2020/01/30 13:10:02:947',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
503,'2020/01/30 13:10:02:964',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
504,'2020/01/30 13:10:02:985',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
505,'2020/01/30 13:10:02:999',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
506,'2020/01/30 13:10:23:828',10,0.941176,0.941176,0.941176,0.941176,0.941176,5
507,'2020/01/30 13:10:23:849',10,0.941176,0.941176,0.941176,0.941176,0.941176,5
508,'2020/01/30 13:10:23:871',10,0.945098,0.945098,0.945098,0.945098,0.945098,5
509,'2020/01/30 13:10:23:887',10,0.945098,0.945098,0.945098,0.945098,0.945098,5
510,'2020/01/30 13:10:23:903',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
511,'2020/01/30 13:10:23:920',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
512,'2020/01/30 13:10:23:936',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
513,'2020/01/30 13:10:23:952',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
514,'2020/01/30 13:10:23:974',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
515,'2020/01/30 13:10:23:990',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
516,'2020/01/30 13:10:24:009',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
517,'2020/01/30 13:10:24:018',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
518,'2020/01/30 13:10:24:030',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
519,'2020/01/30 13:10:24:049',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
520,'2020/01/30 13:10:24:067',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
521,'2020/01/30 13:10:24:084',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
522,'2020/01/30 13:10:24:107',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
523,'2020/01/30 13:10:24:127',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
524,'2020/01/30 13:10:24:143',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
525,'2020/01/30 13:10:24:158',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
526,'2020/01/30 13:10:24:174',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
527,'2020/01/30 13:10:24:191',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
528,'2020/01/30 13:10:24:207',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
529,'2020/01/30 13:10:24:224',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
530,'2020/01/30 13:10:24:240',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
531,'2020/01/30 13:10:24:254',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
532,'2020/01/30 13:10:24:270',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
533,'2020/01/30 13:10:24:286',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
