@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2521,'2020/01/27 14:51:43:131',25,189,28,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2522,'2020/01/27 14:51:43:131',25,195,27,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2523,'2020/01/27 14:51:43:131',25,198,26,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2524,'2020/01/27 14:51:43:131',25,200,26,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2525,'2020/01/27 14:51:43:170',25,200,26,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2526,'2020/01/27 14:51:43:170',25,200,26,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2527,'2020/01/27 14:51:43:210',25,200,26,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2528,'2020/01/27 14:51:43:210',25,200,26,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2529,'2020/01/27 14:51:43:210',25,198,27,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2530,'2020/01/27 14:51:43:250',25,194,28,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2531,'2020/01/27 14:51:43:250',25,188,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2532,'2020/01/27 14:51:43:250',25,183,30,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2533,'2020/01/27 14:51:43:289',25,180,31,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2534,'2020/01/27 14:51:43:290',25,179,31,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2535,'2020/01/27 14:51:43:370',25,180,31,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2536,'2020/01/27 14:51:43:371',25,182,30,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2537,'2020/01/27 14:51:43:371',25,186,30,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2538,'2020/01/27 14:51:43:371',25,188,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2539,'2020/01/27 14:51:43:410',25,190,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
